dataStatus,principalInvestigator,country,locality,Bsal_area,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,basisOfRecord,fatal,quantityDetected,monthCollected,dayCollected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,diseaseLineage,genotypeMethod,testMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,diagnosticLab,
2,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2017,50.574681,6.401072,100,Bsal Consortium Germany,,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,4,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,not determined,Lötters et al. 2020,,4,,,,,,,quantitive PCR,,,,,
2,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2017,50.574681,6.401072,100,Bsal Consortium Germany,BsalGer3093 - SB8,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,7,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,not determined,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2017,50.574681,6.401072,100,Bsal Consortium Germany,BsalGer3094 - SB9,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,7,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,not determined,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2018,50.574681,6.401072,100,Bsal Consortium Germany,BsalGer0922 - NLP-2018-027,Triturus,cristatus,swabbing,Bsal,TRUE,LivingSpecimen,FALSE,,16,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,22082,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2017,50.574681,6.401072,100,Bsal Consortium Germany,BsalGer3086 - SB1,Salamandra,salamandra,swabbing,Bsal,TRUE,LivingSpecimen,FALSE,,4,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,not determined,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,1393,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Sauerbach,TRUE,2017,50.574681,6.401072,100,Bsal Consortium Germany,BsalGer3092 - SB7,Salamandra,salamandra,swabbing,Bsal,TRUE,MaterialSample,FALSE,,4,,,,,,,,"Ss, Ia, Lh, Lv, Bb, Rt",,,,,,,,,,newts only,,,,,,,,,,,Totfund,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,2058,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0955 - MVB2015-8113,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0956 - MVB2015-8114,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0957 - MVB2015-8115,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0958 - MVB2015-8116,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0959 - MVB2015-8117,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0960 - MVB2015-8118,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0961 - MVB2015-8119,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0962 - MVB2015-8120,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0963 - MVB2015-8121,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0964 - MVB2015-8122,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0965 - MVB2015-8123,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0966 - MVB2015-8124,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0967 - MVB2015-8125,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0968 - MVB2015-8126,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0969 - MVB2015-8127,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0970 - MVB2015-8128,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0971 - MVB2015-8129,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
2,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2016,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0972 - MVB2015-8130,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,13,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,male,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1957 - C,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1955 - A,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,149.4,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1956 - B,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,39.2,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1958 - D,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,369.7,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1959 - F,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,573.5,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1960 - G,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,FALSE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,1031.7,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1961 - H,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,401.8,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1962 - J,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,1671.3,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1963 - K,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,1020.6,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1964 - L,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,36.4,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1965 - M,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,43192,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1966 - O,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,796.7,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1968 - FSBE01,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,43323,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1969 - FSBE02,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,1385.1,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1970 - FSBE03,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,43286,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1971 - FSBE05,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,192.5,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1972 - FSBE06,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,108.1,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1973 - FSBE07,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,43341,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1974 - FSBE08,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,121.6,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1975 - FSBE09,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,110,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1976 - FSBE10,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,644.6,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Belgenbach,TRUE,2015,50.578169,6.278448,100,Bsal Consortium Germany,BsalGer1977 - FSBE11,Salamandra,salamandra,swabbing,Bsal,TRUE,DeadSpecimen,TRUE,,18,,,,,,,,NA,,,,,,,,,,Ss only,,,,,,,,,,,not determined,Spitzen-van der Sluijs et al. 2016,,1,,,,,,,quantitive PCR,,,431.7,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Neffgebach,,2016,50.583735,6.440269,100,Bsal Consortium Germany,BsalGer2459 - 1,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2018,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0919 - NLP-2018-024,Salamandra,salamandra,swabbing,Bsal,TRUE,LivingSpecimen,FALSE,,16,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,2,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2018,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0920 - NLP-2018-025,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,16,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,female,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
1,Bsal Consortium Germany,Germany,Burg Vogelsang,TRUE,2018,50.575314,6.440184,100,Bsal Consortium Germany,BsalGer0921 - NLP-2018-026,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,16,,,,,,,,"Ss, Ia, Lh",,,,,,,,,,all species,,,,,,,,,,,not determined,Lötters et al. 2020,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Schafbach,,2017,50.593152,6.512388,100,Bsal Consortium Germany,BsalGer0929 - MVB2015-6801,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Schafbach,,2017,50.593152,6.512388,100,Bsal Consortium Germany,BsalGer0930 - MVB2015-6802,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Schafbach,,2017,50.593152,6.512388,100,Bsal Consortium Germany,BsalGer0931 - MVB2015-6803,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0659 - KO-2018-001,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0660 - KO-2018-002,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0661 - KO-2018-003,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0662 - KO-2018-004,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0663 - KO-2018-005,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0664 - KO-2018-006,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0665 - KO-2018-007,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0666 - KO-2018-008,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0667 - KO-2018-009,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0668 - KO-2018-010,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0669 - KO-2018-011,Lissotriton,vulgaris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0670 - KO-2018-012,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Konzen,,2018,50.595878,6.266865,100,Bsal Consortium Germany,BsalGer0671 - KO-2018-013,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
